在	O
确	O
保	O
现	O
有	O
客	O
户	O
海	B_COMPANY
尔	E_COMPANY
、	O
格	B_COMPANY
力	E_COMPANY
、	O
冠	B_COMPANY
捷	E_COMPANY
、	O
T	B_COMPANY
C	M_COMPANY
L	E_COMPANY
等	O
家	O
电	O
龙	O
头	O
订	O
单	O
稳	O
定	O
的	O
基	O
础	O
上	O
，	O
大	O
力	O
拓	O
展	O
市	O
场	O
，	O
争	O
取	O
更	O
多	O
的	O
市	O
场	O
份	O
额	O
；	O
同	O
时	O
精	O
简	O
优	O
化	O
部	O
门	O
人	O
员	O
，	O
加	O
强	O
管	O
理	O
，	O
进	O
一	O
步	O
提	O
高	O
生	O
产	O
效	O
率	O
，	O
提	O
升	O
产	O
品	O
品	O
质	O
，	O
充	O
分	O
利	O
用	O
公	O
司	O
所	O
处	O
地	O
理	O
优	O
势	O
，	O
将	O
业	O
务	O
进	O
一	O
步	O
做	O
大	O
做	O
强	O
。	O
全	O
球	O
智	O
能	O
手	O
机	O
销	O
量	O
前	O
五	O
的	O
手	O
机	O
品	O
牌	O
中	O
，	O
公	O
司	O
的	O
两	O
个	O
主	O
要	O
客	O
户	O
华	B_COMPANY
为	E_COMPANY
、	O
v	B_COMPANY
i	M_COMPANY
v	M_COMPANY
o	E_COMPANY
分	O
别	O
排	O
名	O
第	O
三	O
和	O
第	O
五	O
。	O
在	O
保	O
持	O
华	O
为	O
手	O
机	O
业	O
务	O
的	O
基	O
础	O
上	O
，	O
公	O
司	O
延	O
伸	O
产	O
品	O
合	O
作	O
范	O
围	O
，	O
承	O
接	O
了	O
华	O
为	O
数	B_PRODUCT
据	M_PRODUCT
卡	E_PRODUCT
、	O
可	B_PRODUCT
穿	M_PRODUCT
戴	M_PRODUCT
设	M_PRODUCT
备	E_PRODUCT
、	O
平	B_PRODUCT
板	E_PRODUCT
的	O
生	O
产	O
，	O
公	O
司	O
与	O
华	B_COMPANY
为	E_COMPANY
的	O
合	O
作	O
得	O
到	O
进	O
一	O
步	O
加	O
深	O
。	O
为	O
降	O
低	O
外	O
部	O
环	O
境	O
对	O
公	O
司	O
业	O
务	O
带	O
来	O
的	O
冲	O
击	O
，	O
公	O
司	O
一	O
方	O
面	O
在	O
稳	O
固	O
原	O
有	O
业	O
务	O
的	O
基	O
础	O
上	O
，	O
积	O
极	O
拓	O
宽	O
与	O
客	O
户	O
的	O
合	O
作	O
领	O
域	O
，	O
如	O
马	O
来	O
西	O
亚	O
工	O
厂	O
自	O
投	O
产	O
运	O
营	O
以	O
来	O
，	O
出	O
货	O
量	O
稳	O
定	O
上	O
升	O
，	O
2	O
0	O
1	O
6	O
年	O
继	O
续	O
保	O
持	O
原	O
有	O
硬	B_PRODUCT
盘	M_PRODUCT
主	M_PRODUCT
板	E_PRODUCT
业	O
务	O
生	O
产	O
外	O
，	O
将	O
引	O
入	O
希	B_COMPANY
